Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Plastic,131,Composting,Mumbai,2021
Paper,266,Composting,Mumbai,2021
Paper,77,Recycling,Mumbai,2020
Organic,166,Composting,Delhi,2020
Plastic,121,Composting,Delhi,2021
Plastic,110,Landfill,Delhi,2022
Organic,196,Composting,Bangalore,2023
Paper,222,Recycling,Bangalore,2022
Organic,195,Recycling,Bangalore,2023
Organic,80,Landfill,Kolkata,2021
Paper,291,Composting,Kolkata,2024
Organic,109,Composting,Kolkata,2022
Organic,155,Recycling,Chennai,2020
Plastic,65,Landfill,Chennai,2024
Organic,97,Landfill,Chennai,2020
Paper,232,Landfill,Hyderabad,2024
Paper,208,Composting,Hyderabad,2024
Plastic,169,Composting,Hyderabad,2024
Plastic,215,Landfill,Pune,2024
Plastic,82,Composting,Pune,2024
Organic,107,Landfill,Pune,2021
Plastic,252,Recycling,Ahmedabad,2023
Plastic,263,Composting,Ahmedabad,2020
Plastic,148,Recycling,Ahmedabad,2023
Plastic,199,Composting,Surat,2022
Plastic,209,Recycling,Surat,2022
Paper,217,Recycling,Surat,2020
Plastic,100,Composting,Jaipur,2024
Plastic,199,Recycling,Jaipur,2022
Paper,281,Composting,Jaipur,2022
Paper,90,Composting,Lucknow,2023
Organic,277,Composting,Lucknow,2023
Organic,247,Recycling,Lucknow,2022
Paper,75,Composting,Kanpur,2020
Plastic,69,Composting,Kanpur,2023
Organic,180,Composting,Kanpur,2020
Paper,125,Composting,Nagpur,2022
Organic,60,Composting,Nagpur,2021
Organic,282,Composting,Nagpur,2020
Plastic,238,Composting,Indore,2020
Paper,149,Composting,Indore,2021
Plastic,172,Landfill,Indore,2021
Paper,137,Recycling,Thane,2020
Organic,158,Landfill,Thane,2024
Paper,144,Landfill,Thane,2024
Paper,98,Composting,Bhopal,2020
Organic,235,Composting,Bhopal,2020
Organic,88,Recycling,Bhopal,2023
Paper,248,Composting,Visakhapatnam,2021
Organic,156,Recycling,Visakhapatnam,2024
Plastic,199,Recycling,Visakhapatnam,2024
Plastic,97,Recycling,Pimpri-Chinchwad,2024
Paper,222,Recycling,Pimpri-Chinchwad,2021
Organic,54,Recycling,Pimpri-Chinchwad,2020
Paper,287,Composting,Patna,2023
Paper,52,Composting,Patna,2022
Plastic,118,Landfill,Patna,2023
Plastic,177,Recycling,Vadodara,2021
Organic,67,Recycling,Vadodara,2020
Organic,237,Recycling,Vadodara,2023
Paper,101,Recycling,Ghaziabad,2020
Organic,271,Composting,Ghaziabad,2020
Paper,271,Recycling,Ghaziabad,2021
Organic,116,Recycling,Ludhiana,2020
Organic,187,Recycling,Ludhiana,2023
Plastic,282,Landfill,Ludhiana,2022
Organic,205,Recycling,Agra,2020
Organic,158,Composting,Agra,2020
Plastic,83,Composting,Agra,2022
Plastic,176,Composting,Nashik,2020
Organic,242,Landfill,Nashik,2021
Organic,270,Recycling,Nashik,2020
Paper,154,Landfill,Faridabad,2021
Organic,238,Composting,Faridabad,2020
Plastic,224,Recycling,Faridabad,2022
Paper,129,Composting,Meerut,2024
Paper,60,Landfill,Meerut,2024
Organic,57,Landfill,Meerut,2020
Paper,104,Composting,Rajkot,2024
Organic,260,Composting,Rajkot,2022
Plastic,261,Composting,Rajkot,2024
Plastic,255,Composting,Kalyan-Dombivli,2024
Organic,139,Recycling,Kalyan-Dombivli,2023
Paper,203,Recycling,Kalyan-Dombivli,2021
Plastic,262,Composting,Vasai-Virar,2023
Organic,86,Recycling,Vasai-Virar,2024
Plastic,173,Composting,Vasai-Virar,2020
Plastic,56,Landfill,Varanasi,2021
Paper,100,Composting,Varanasi,2023
Plastic,95,Composting,Varanasi,2022
